term,quantity
kombucha,9
tea,6
tart,1
beverage,2
fruits,2
dim sum,1
orange,1
wine,2
ham,1
pollen,1
mushrooms,1
oyster,1
sugarplums,1
kombuchas,2
tteokbokki,1
tofu,1
noodles,1
chili,1
greens,1
salad,1
cheese,1
carbonara,1
teas,1
