term,Quantity
activated charcoal,1
rosehip power,1
rosewater,3
honey,3
jojoba oil,4
oil,1
charcoal,2
bentonite clay,3
rosehip powder,3
lavender,1
tea tree oil,2
cold water,1
shea butter,1
hemp oil,1
activated charcoal powder,1
apple cider vinegar,1
Diaspora Co turmeric,1
