term,frequency
stromboli,26
pizza,3
herbal tea,1
pizza dough,3
calzone,3
strombolis,8
dough,15
vegetables,1
meat,1
proof,1
garlicky kale,1
Tuscan kale,1
cloves,1
garlic,1
olive oil,3
garlic,2
kale,2
kosher salt,1
pepperoni,4
marinara,1
sauce,3
tomatoes,1
salt,2
fennel,3
sausage,4
fat,1
flour,1
mozzarella,4
water,1
cheese,4
egg,1
eggs,1
bake,1
ranch dressing,1
pizza sauce,1
stir-fry,1
