term,quantity
tiramisú,5
coffee,5
rum,3
vegetable oil,1
salt,3
sugar,4
cream,3
mascarpone,2
egg,3
yolks,2
ladyfingers,5
cocoa,4
oil,1
loaf,2
water,3
eggs,1
yolk,1
cookies,1
filling,3
tiramisu,1
