term,quantity
wines,4
wine,20
Grenache,1
cherry,1
pepperoni,1
lasagna,1
Parmesan,1
Sangiovese,1
cinsault,1
rosé ,2
Chardonnay,2
California Chards,1
pet-nat,2
apple blossoms,1
nuttiness,1
Calabrese Nero,1
vermouth,2
Dr Pepper,1
grapes,2
chocolate-covered strawberries,1
herbs,2
sparkling,1
High Life,1
grape,1
red fruit,1
spice,1
cheese,1
tequila,1
