term,quantity
Fro-Yo,3
sushi,5
soy sauce,1
California roll,1
frozen yogurt,1
coffee,1
oatmeal,1
goat's milk,3
butter,1
milk,1
tea,1
egg salad,1
eggs,6
frozen yogurt,2
