term,count
kimchi,13
napa cabbage,2
veggie,1
fennel bulbs,1
cauliflower florets,1
radishes,2
gochugaru paste,1
fish sauce,4
soy sauce,4
white miso,1
water,3
grain,1
eggs,2
stews,1
grilled cheese,1
lentil stew,1
sweet potato,1
kosher salt,1
ginger,2
garlic cloves,1
sugar,2
gochugaru,2
red pepper powder,1
red pepper flakes,1
scallions,2
vegetables,5
carrots,1
cauliflower,1
fennel,1
green beans,1
turnips,1
cabbage,7
salt,1
brining liquid,1
garlic,1
brine,1
