term,quantity
cocktail,3
Americano,1
beverage,3
eggnog,1
date shakes,1
seltzer,1
Le Spritz,5
aperitivo,1
booze,1
spritz,1
aperitif,2
tonic,1
Spindrift,1
rosé,1
grape juice,1
fig concentrate,1
yuzu,1
lemon balm,1
rosemary,1
gentian root,1
gluten-free,1
croissants,1
sparkling water,1
