term,quantity
mango,3
avocado,3
salad,2
oranges,4
olive oil,1
orange,2
lime,2
juice,4
honey,2
salt,2
pepper,2
shallot,2
cilantro,2
mangoes,2
avocados,2
tomatoes,2
oil,1
cherry,2
dressing,1
